,leo_open,leo_volume,leo_burn_amount,burn_amount_usd,btc_open,btc_volume,btc_usd_volume,burn_amount_usd_EMA,btc_usd_volume_EMA,m2dates,corr,corr_smoothed
2019-06-23 18:00:00,1.8936,278478.45895462,13497.0,25557.9192,10828.0,5190.61662198,56203996.78279944,17219.130757054852,24115483.880940344,737233.75,0.9832862557512733,
2019-06-23 21:00:00,1.8828,79809.49077224,16963.0,31937.9364,11129.0,5744.1450223,63926589.9531767,17796.338821484074,25676703.726910397,737233.875,0.9807841641957181,
2019-06-24 00:00:00,1.885,72699.04626658,17371.0,32744.335,10909.0,3557.55508325,38809368.40317425,18382.534750053324,26191710.1848031,737234.0,0.9804810814831447,
2019-06-24 03:00:00,1.8702,102259.02550384,4413.0,8253.1926,10685.08433341,592.68598133,6332899.6937409155,17985.305646129666,25412933.30280066,737234.125,0.9779045175486548,
2019-06-24 06:00:00,1.8483,34739.86761628,5455.0,10082.4765,10812.0,1017.03283496,10996159.01158752,17675.390777653993,24847569.605106026,737234.25,0.9755387552712567,
2019-06-24 09:00:00,1.8618,59659.71083001,12608.0,23473.574399999998,10920.0,3633.31921097,39675845.7837924,17902.770527549914,25429070.631721176,737234.375,0.9586825977842822,
2019-06-24 12:00:00,1.8554,117106.90310455,3854.0,7150.7116,10934.0,755.86890052,8264670.55828568,17481.121157842073,24755956.903351158,737234.5,0.9388953878805643,
2019-06-24 15:00:00,1.9018,119175.49550387,6498.0,12357.8964,10978.94247125,2269.20484174,24913469.412945423,17280.210383024736,24762133.864511717,737234.625,0.9044796529885535,
2019-06-24 18:00:00,1.883,167472.90876698,5939.0,11183.137,11067.0,1760.29687724,19481205.54041508,17041.109466043374,24555038.63611577,737234.75,0.8220118323391361,
2019-06-24 21:00:00,1.88,242775.55462996,3850.0,7238.0,10891.0,816.660775,8894252.500525,16656.67380070834,23940890.16021025,737234.875,0.6825847369526129,
2019-06-25 00:00:00,1.8989,176602.18941265,6583.0,12500.458700000001,11069.648093000002,1873.45368216,20738472.980046276,16493.68497322958,23815305.172752842,737235.0,0.695468444936815,
2019-06-25 03:00:00,1.8995,254085.73942264,7780.0,14778.11,11164.0,2121.2542239,23681682.1556196,16426.40752329901,23810065.054433893,737235.125,0.6998248303352705,
2019-06-25 06:00:00,1.87,156050.54733024,7093.0,13263.91,11341.0,1636.85934972,18563621.88517452,16302.388012581403,23604322.185051173,737235.25,0.7127165072803675,
2019-06-25 09:00:00,1.8869,563815.15918764,10825.0,20425.6925,11317.0,4679.85815858,52961954.78064986,16464.08622777429,24755601.894682493,737235.375,0.6358334294767244,
